edinet_code,sec_code,filer_name,doc_description,doc_id,period_start,period_end,amount,number
E00004,13760,カネコ種苗株式会社,有価証券報告書－第72期(平成30年6月1日－令和1年5月31日),S100GUI8,2018-06-01,2019-05-31,139675000,12
E00006,13770,株式会社　サカタのタネ,有価証券報告書－第78期(平成30年6月1日－令和1年5月31日),S100GUE8,2018-06-01,2019-05-31,205000000,8
E00008,13790,ホクト株式会社,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100G4GA,2018-04-01,2019-03-31,164160000,6
E00011,19110,住友林業株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G299,2018-04-01,2019-03-31,514000000,9
E00012,13010,株式会社　極洋,有価証券報告書－第96期(平成30年4月1日－平成31年3月31日),S100G2KO,2018-04-01,2019-03-31,248000000,11
E00014,13320,日本水産株式会社,有価証券報告書－第104期(平成30年4月1日－平成31年3月31日),S100G50V,2018-04-01,2019-03-31,324000000,6
E00015,13330,マルハニチロ株式会社,有価証券報告書－第75期(平成30年4月1日－平成31年3月31日),S100G1Q8,2018-04-01,2019-03-31,376000000,8
E00017,13520,株式会社ホウスイ,有価証券報告書－第84期(平成30年4月1日－平成31年3月31日),S100G4CT,2018-04-01,2019-03-31,138000000,13
E00021,57110,三菱マテリアル株式会社,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100FX0A,2018-04-01,2019-03-31,356000000,8
E00023,57130,住友金属鉱山株式会社,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100G7YI,2018-04-01,2019-03-31,298000000,6
E00024,57060,三井金属鉱業株式会社,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100G91O,2018-04-01,2019-03-31,174000000,4
E00026,57290,日本精鉱株式会社,有価証券報告書－第124期(平成30年4月1日－平成31年3月31日),S100GD1A,2018-04-01,2019-03-31,80510000,4
E00027,14910,中外鉱業株式会社,有価証券報告書－第127期(平成30年4月1日－平成31年3月31日),S100GCZI,2018-04-01,2019-03-31,47250000,5
E00028,57140,ＤＯＷＡホールディングス株式会社,有価証券報告書－第116期(平成30年4月1日－平成31年3月31日),S100G567,2018-04-01,2019-03-31,329000000,6
E00030,33150,日本コークス工業株式会社,有価証券報告書－第16期(平成30年4月1日－平成31年3月31日),S100G8GX,2018-04-01,2019-03-31,134000000,7
E00032,57150,古河機械金属株式会社,有価証券報告書－第152期(平成30年4月1日－平成31年3月31日),S100G6QH,2018-04-01,2019-03-31,118000000,6
E00034,88350,太平洋興発株式会社,有価証券報告書－第144期(平成30年4月1日－平成31年3月31日),S100GA36,2018-04-01,2019-03-31,74000000,5
